id,Actual_price,Product_availability,Condition,Currency,Country,brand,Description,Category_name,primaryCategories,name,weight_in_kg,Actual_price_log,brand_standarized,Actual_price_mean_by_category_name,Category_name_encoded,Category_name_encoded_log
35,1296.99,Yes,New,USD,USA,Apple,"Computers,MacBook,Shop Laptops by Type,Computers & Accessories,MacBooks,Electronics,All Laptops,Computers/Tablets & Networking,Laptops & Netbooks,MacBook Pro,Traditional Laptops,Featured Laptops,Computers & Tablets,Laptops,Apple Laptops","laptop, computer, macbook",Electronics,"Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Space Gray""",1.36984784,7.1685,apple,1247.9949,783.0864677606169,6.6645
36,1199.0,Yes,,USD,USA,Apple,"Electronics,Computers,Laptops,Shop Laptops by Type,Apple Laptops,Used:Computers Accessories,Used:Laptops,Computers & Accessories,Computers & Tablets,Traditional Laptops,All Laptops,MacBooks,MacBook,Frys,Apple,Mac Laptops,Featured Laptops,Apple MacBook,Notebook Computers","laptop, computer, macbook",Electronics,"Apple 13.3 MacBook Air ( Silver)""",2.2452804,7.09,apple,1247.9949,783.0864677606169,6.6645
37,127.82,Yes,New,USD,USA,Pny,"Computers/Tablets & Networking,Computer Components & Parts,Memory (RAM),Electronics,Computers & Accessories,Computer Components,Memory,Computers & Tablets,Computer Cards & Components,Desktop Memory,Computers,Memory Upgrades","memory, computer, component",Electronics,PNY - 16 GB (2PK x 8GB) 1.8 GHz DDR3 DIMM Desktop Memory Kit - Black,1.814368,4.8584,pny,127.82,254.64283734543767,5.5437
38,85.0,Yes,New,USD,USA,Acer,"Computers,Used:Computers Accessories,Laptop Accessories,Electronics,Monitors,Computers & Tablets,Used:Computer Monitors,Computer Monitors,Laptops,All Monitors,Monitors Displays,Used:Computer Monitors Accessories","monitor, computer",Electronics,V206HQL Abd 19.5 LED Backlit LCD Monitor (Black),2.9029888,4.4543,acer,367.495,342.74283841407447,5.8398
39,649.99,Yes,New,USD,USA,Alienware,"Computers,Gaming Monitors,Computers & Accessories,Monitors, Projectors & Accs,Electronics,Monitors Displays,Computers/Tablets & Networking,Laptop Accessories,Monitors,Computers & Tablets,Computer Monitors,Laptops,All Monitors","monitor, computer",Electronics,"Details About Openbox Excellent: Alienware Aw2518h 25 Led Fhd Gsync Monitor Black""",6.80388,6.4784,alienware,367.495,342.74283841407447,5.8398
40,103.2,Yes,,USD,USA,Chief,"Audio & Video Accessories,TV Mounts,Audio Visual Presentation,TV Stands, Mounts & Furniture,Electronics,TV & Home Theater,Used:General Audio Visual Accessories,TV Ceiling & Wall Mounts,Bath,Mounts Carts,Monitor Wall Mounts,TV Accessories & Parts,Towel Holders,Used:A/V Presentation,Bathroom Accessories,Accessories & Supplies,Monitor Mounts Stands","mount, tv, stand","Electronics,Furniture","Chief - FIT Fixed TV Wall Mount for Most 40 - 80"" Flat-Panel TVs - Black""",79.3786,4.6463,chief,103.2,246.4502158680133,5.5112
41,49.99,Yes,New,USD,USA,Corsair,"Computers,Mice & Mice Pads,All Mice & Mice Pads,Computers & Accessories,Electronics,Mice, Trackballs & Touchpads,Keyboards and Mice,Accessories,Used:Computer Peripherals,Keyboards, Mice & Pointers,See more Corsair Gaming M65 Pro RGB FPS Mouse Backlit L...,Video Games,Baby & Toddler Toys,Keyboard & Mouse Bundles,Gaming Mice,Toys & Games,Used:Mice Keyboards,Indoor Climbers & Play Structures,Mice Touchpads,PC gaming accessories,Computer Accessories,Computer Accessories & Peripherals,Keyboards, Mice & Joysticks,See more Corsair Gaming M65 Pro RGB FPS Mouse Backlit R...,See more Corsair M65 PRO RGB FPS Gaming Mouse (12000 DP...,Mice Trackballs,Keyboards, Mice & Accessories,Computers/Tablets & Networking,Used:Computers Accessories,Computer Peripherals,Mice,Mice Pointing devices","mouse, keyboard",Electronics,CORSAIR M65 Pro RGB - FPS Gaming Mouse - 12,2.68526464,3.9316,corsair,49.99,228.69970318468336,5.4367
42,32.99,Yes,New,USD,USA,TP-Link,"Computers,Computers & Accessories,Networking,Home Networking & Connectivity,Wireless Adapters Cards,See more TP-Link TL-WDN4800 (6935364050603) Pre-802.11n...,Wireless Networking,Electronics,Wireless Adapters Cards zfxzyvdvsfyqfwub,Wireless Adapters Cards rrcsvtuqdaurzwax,USB Wi-Fi Adapters/Dongles,Networking Cables & Accessories,Wi-Fi & Networking,Computers/Tablets & Networking,Computer Components,Wireless Adapters Cards dyxuquefvtyxxeewyrs,Computers & Tablets,Networking Products,Network Adapters,Network Cards","networking, adapter, switch",Electronics,450 Mbps 2.4/5GHz Wireless N Dual Band PCI Express Adapter,0.07257472,3.526,tp-link,32.99,223.04099804213897,5.4118
43,219.99,Yes,New,USD,USA,Arris,"Office,Computers,Networking,Walmart for Business,Computers & Accessories,Home Networking & Connectivity,Modems wbeaxscecbftrvrtecbvfrwyvzarzwrw,Electronics,Computers and Monitors,Office Electronics,Ways To Shop Electronics,Upgrade Your Network,Modem & Router Combos,Wi-Fi & Networking,Computers/Tablets & Networking,Internal Modems,Modem-Router Combos,Modems & Gateways,Monitors,Computers & Tablets,Modems,See more ARRIS Surfboard Sbg6900-ac Cable Modem With Ac...,Networking Products","networking, modem, router",Electronics,Details About New Arris Surfboard 16x Cable Modem With Wifi Ac1900 Router (sbg6900ac),1.6102516,5.3981,arris,219.99,285.4079652619267,5.6574
44,33.21,Yes,New,USD,USA,Samsung,"Tech Accessories,Cell Phone Cases,Cases & Protectors,Electronics,Cell Phones,Cell Phone Accessories,Mobile,Featured Brands,Accessories,Women's Accessories,Cases, Covers & Skins,Wallet Cases,Cell Phones & Accessories,Cell Phone Cases Covers,Samsung","phone, cell",Electronics,LED Wallet Cover for Galaxy S8+ (Black),0.0907184,3.5325,samsung,33.21,223.12996525665463,5.4122
