id,Actual_price,Product_availability,Condition,Currency,Country,brand,Description,Category_name,primaryCategories,name,weight_in_kg,Actual_price_log,brand_standarized,Actual_price_mean_by_category_name,Category_name_encoded,Category_name_encoded_log
11,359.99,Yes,New,USD,USA,Kicker,"Auto & Tires,Auto Electronics,Car Speakers and Subwoofers,6\\ x 9\\ Car Speakers,Car Speakers,Car Electronics & GPS,Car Audio,All Car Speakers & Subwoofers,Name Brands,Kicker,Electronics,Car Electronics,Amplifiers,Multichannel Amplifiers,Frys,Automotive,Automotive Basics","car, speaker, subwoofer",Electronics,"2) New Kicker 41KSC6934 6x9 3-Way 300 Watt Car Audio Coaxial Speakers KSC693""",3.6740952,5.8888,kicker,230.99,249.5850905223581,5.5238
12,83.95,Yes,New,USD,USA,SanDisk,"Micro SD (SD, SDHC, SDXC),Camera Accessories,Computers & Accessories,Digital Camera Accessories,Computer Accessories & Peripherals,Electronics,Cell Phone Accessories,microSD (SDHC, SDXC),Micro SDXC,Memory Cards,Cameras & Camcorders,Photography,Memory Cards Accessories,See more SanDisk Ultra 200GB Class 10 - - SDSDQUAN-200G...,microSDXC,Micro SD Cards,Cell Phones & Accessories","card, memory, camera",Electronics,SanDisk - Ultra 200GB microSDXC UHS-I Memory Card,0.07257472,4.442,sandisk,83.95,206.77274096519477,5.3364
13,78.03,Yes,New,USD,USA,NZXT,"Computers,Cases & Towers,Computers & Accessories,Computer Components,Electronics,Computer Cases,Computers & Tablets,Desktop Computer Cases,Computer Cards & Components","case, computer",Electronics,Source 530 Full Tower Case (Black),9.1625584,4.3698,nzxt,79.22,173.69405226265818,5.163
14,80.41,,New,USD,USA,NZXT,"Computers,Cases & Towers,Computers & Accessories,Computer Components,Computer Cases,Electronics,Computers & Tablets,Desktop Computer Cases,Computer Cards & Components,Desktop Computer Cases safqadwuaub","case, computer",Electronics,Phantom 410 Mid-Tower Case (White),8.9811216,4.3995,nzxt,79.22,173.69405226265818,5.163
15,1074.99,Yes,New,USD,USA,Apple,"Computers,Computers & Accessories,Electronics,Computers Features,All-in-Ones,All Desktops,Desktops,Desktop & All-in-One Computers,PC Desktops & All-In-Ones,Desktops & All-In-Ones,All Desktop Computers,Computers/Tablets & Networking,Apple Desktops & All-In-Ones,Computers & Tablets,Desktop Computers",desktop,Electronics,"Apple - 21.5 iMac® - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Silver""",8.299826415999998,6.9809,apple,1074.99,537.1093728134715,6.288
16,148.59,Yes,New,USD,USA,WD,"Computers,Internal Hard Drives,Network Attached Storage Drives etryvwsrbvvvvxfutbey,Internal Drives,Drives, Storage & Blank Media,Computers & Accessories,Networking,Hard Drives (HDD, SSD & NAS),Computer Accessories & Peripherals,Internal Hard Disk Drives,Electronics,Hard Drives & Storage,Drives Storage,Computers/Tablets & Networking,Computer Components,NAS Servers,Computers & Tablets,Network Attached Storage Drives,Data Storage","drive, storage, hard",Electronics,"4TB Network OEM HDD Retail Kit (8-Pack, WD40EFRX, Red Drives)",10.3872568,5.0079,wd,157.4633,185.14327450728902,5.2265
17,199.99,Yes,New,USD,USA,Samsung,"Computers,Drives, Storage & Blank Media,Solid State Drives,Hard Drives (HDD, SSD & NAS),Computers & Accessories,Computer Accessories & Peripherals,Hard Drives & Storage,Electronics,Drives Storage,Computers/Tablets & Networking,External Drives,Computers & Tablets,External Solid State Drives,Other Hard Drives,Data Storage","drive, storage, hard",Electronics,Samsung T5 Portable SSD - 500GB - USB 3.1 External SSD (MU-PA500B/AM),0.7257472,5.3032,samsung,157.4633,185.14327450728902,5.2265
18,275.65,Yes,New,USD,USA,SanDisk,"Electronics,Computers,Computer Components,Hard Drives & Storage,Drives Storage,External Drives,Computers & Tablets,Computer Accessories & Peripherals,External Hard Drives,Computers & Accessories,Data Storage,Network Attached Storage","drive, storage, hard",Electronics,SanDisk Extreme 500 480GB USB 3.0 Portable SSD (Solid State Drive) - SDSSDEXT-480G,3.2658624,5.6227,sandisk,157.4633,185.14327450728902,5.2265
19,42.65,Yes,,USD,USA,WD,"Computers,Internal Hard Drives,Drives, Storage & Blank Media,Hard Drives (HDD, SSD & NAS),Computers & Accessories,Internal Hard Disk Drives,Computer Accessories & Peripherals,Electronics,Hard Drives & Storage,Computers/Tablets & Networking,Computer Components,Computers & Tablets,Data Storage","drive, storage, hard",Electronics,WD - Blue 500GB Internal Serial ATA Hard Drive for Laptops (OEM/Bare Drive),1.4514944,3.7762,wd,157.4633,185.14327450728902,5.2265
20,79.99,Yes,,USD,USA,WD,"Computers,Internal Hard Drives,Drives, Storage & Blank Media,Hard Drives (HDD, SSD & NAS),Computers & Accessories,Internal Hard Disk Drives,Computer Accessories & Peripherals,Electronics,Hard Drives & Storage,Computers/Tablets & Networking,Computer Components,Computers & Tablets,Data Storage","drive, storage, hard",Electronics,WD - Blue 500GB Internal Serial ATA Hard Drive for Laptops (OEM/Bare Drive),1.4514944,4.3943,wd,157.4633,185.14327450728902,5.2265
21,197.91,Yes,New,USD,USA,Seagate,"Computers,Internal Hard Drives,Internal Drives,Drives, Storage & Blank Media,Hard Drives (HDD, SSD & NAS),Computers & Accessories,Computer Accessories & Peripherals,Internal Hard Disk Drives,Electronics,Hard Drives & Storage,Drives Storage,Computers/Tablets & Networking,Computer Components,Computers & Tablets,Data Storage","drive, storage, hard",Electronics,Seagate - SkyHawk Surveillance HDD 6TB Internal SATA Hard Drive for Desktops,11.2944408,5.2928,seagate,157.4633,185.14327450728902,5.2265
22,129.95,Yes,,USD,USA,AfterShokz,"Headphones,Consumer Electronics,All Headphones,Portable Audio & Headphones,On-Ear Headphones,Over-Ear and On-Ear Headphones,Electronics,Audio,Wireless and Bluetooth Headphones,Shop Headphones by Type",headphone,Electronics,AfterShokz Trekz Titanium Wireless Headphones,0.57606184,4.8748,aftershokz,164.9649,216.5679804141499,5.3825
23,199.98,Yes,New,USD,USA,Sennheiser,"Headphones,All Headphones,Premium Headphones,Over-Ear and On-Ear Headphones,Magnolia Home Theater,Electronics,Audio,Magnolia Premium Audio,Shop Headphones by Type,Mobile,Magnolia Headphones,Magnolia Accessories",headphone,Electronics,Sennheiser - HD 599 Over-the-Ear Headphones HD 5 - Brown/ivory/matte metallic,0.72121128,5.3032,sennheiser,164.9649,216.5679804141499,5.3825
24,35.99,Yes,New,USD,USA,Sennheiser,"Headphones,All Headphones,electronics,Earbud Headphones,Headphones urvqcddttbdswqbzzfvrxfzqdqawavawss,Earbud & In-Ear Headphones,Audio,Mobile,Earphones,all electronics","headphone, earbud, bluetooth",Electronics,Sennheiser - CX 3.00 Earbud Headphones - Red,0.453592,3.6106,sennheiser,50.6599,137.6640829873521,4.932
25,36.0,Yes,New,USD,USA,House of Marley,"Headphones,Bluetooth Headphones,All Headphones,On-Ear Headphones,Electronics,Bluetooth Headphones rydyqsaxrbrdyuquyetsrydxefvucsr,Audio,Mobile","headphone, earbud, bluetooth",Electronics,The Rebel BT On-Ear Wireless Bluetooth Headphones (Black),6.8945984,3.6109,house of marley,50.6599,137.6640829873521,4.932
26,79.99,Yes,New,USD,USA,Samsung,"Bluetooth Headsets,Portable Audio & Headphones,Frys,Electronics,Cell Phones,Cell Phone Accessories,See more Samsung Level U Pro Active Noise Cancelling Wi...,Mobile,Headphones,Bluetooth Headphones,Consumer Electronics,Accessories,Headsets,Cell Phones & Accessories,Audio,Shop Headphones by Type,Earbuds and In-ear Headphones","headphone, earbud, bluetooth",Electronics,"Samsung Level U PRO Headphones with ANC, Black",2.9029888,4.3943,samsung,50.6599,137.6640829873521,4.932
27,252.95,Yes,Refurbished,USD,USA,Logitech,"Controllers,Video Game Racing Wheels for PC, Nintendo, Xbox or PlayStation,Video Game Accessories,Electronics Features,Gaming Peripherals,Xbox One,Frys,Xbox One Accessories,Xbox One Controllers,TVs Entertainment,PC Computers,Gaming Controllers svurybvfds,Accessories,Racing Wheels,Video Games,PC Gaming,PC Gaming ftdzsbvfbetarvufrccysccfxybxctt,Gaming Controllers zuxbbweveteztffywrybecztecqtezfbc,Controllers & Attachments,Gaming Controllers,Gaming,Video Games & Consoles","headset, game, computer",Electronics,Details About Logitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),6.917278,5.5371,logitech,252.95,263.09831240720797,5.5763
28,179.99,Yes,New,USD,USA,Corsair,"Computers,Computers & Accessories,Keyboards zsqstqcsbaqbsvexuadecqqyxarfv,Electronics,Keyboards and Mice,Accessories,Keyboards, Mice & Pointers,Webcams,Computer Peripherals adqydrvaeqbzrzdfxqdbcebazwdbyuvffx,Video Games,Keyboards & Keypads,Computers & Tablets,Keyboards Accessories,PC gaming accessories,Computer Accessories,Computer Accessories & Peripherals,Computer Keyboards,Keyboards urtvtefvdsrswwrcswbxfzvaauxzvcfafre,Keyboards xvdbctbtactd,Keyboards, Mice & Accessories,Computers/Tablets & Networking,Mice & Keyboards,Laptop & Desktop Accessories,Keyboards,Computer Cables & Connectors,Computer Peripherals,Gaming Keyboards","keyboard, computer, mouse",Electronics,CORSAIR K70 RGB RAPIDFIRE Mechanical Gaming Keyboard - USB Passthrough and Media Controls - Fastest and Linear - Cherry MX Speed - RGB LED Backlit,1.2020188,5.1984,corsair,179.99,238.77985461127187,5.4797
29,536.28,Yes,New,USD,USA,Asus,"Computers,Computers & Accessories,Electronics,All Laptops,PC Laptops,Laptops By Brand,Asus,Computers/Tablets & Networking,PC Laptops & Netbooks,Laptops & Netbooks,Traditional Laptops,Windows 10 Laptops,Computers & Tablets,Laptops","laptop, computer",Electronics,"Asus - 17.3 Laptop - Intel Pentium - 8GB Memory - 1TB Hard Drive - Black""",2.80773448,6.2865,asus,538.1324,448.1399517604762,6.1073
30,617.26,Yes,New,USD,USA,Asus,"Computers,Computers & Accessories,Electronics,All Laptops,PC Laptops,Laptops By Brand,Asus,Computers/Tablets & Networking,PC Laptops & Netbooks,Laptops & Netbooks,Traditional Laptops,Windows 10 Laptops,Computers & Tablets,Laptops","laptop, computer",Electronics,"Asus - 17.3 Laptop - Intel Pentium - 8GB Memory - 1TB Hard Drive - Black""",2.80773448,6.4269,asus,538.1324,448.1399517604762,6.1073
31,449.99,Yes,Used,USD,USA,Apple,"Computers,Laptop Replacement Keyboards,Shop Laptops by Type,Computers & Accessories,Specialty Services,Electronics,See more Touchpad Clickpad Trackpad for Apple MacBook P...,Computers Features,Laptop Replacement Parts,Replacement Screens,Computers/Tablets & Networking,Specialty Boutique,Computer Components & Parts,PC Laptops & Netbooks,Laptops & Netbooks,Computer Components,Traditional Laptops,Computers & Tablets,Laptops,Laptop Housings & Touchpads,Laptop Screens & LCD Panels,Restoration & Repair,Apple Laptops","laptop, computer",Electronics,"Apple - MacBook Pro 13.3 Pre-owned Laptop - Intel Core i5 - 4GB Memory - 320GB - Silver""",2.041164,6.1114,apple,538.1324,448.1399517604762,6.1073
